Company Name,CityU URL,Company Website,Email
Aquatech Asia Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/aquatech-asia-limited,No Info Found,aquatechasia.hk@gmail.com
ARBELE Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/arbele-limited,https://www.arbelebio.com/eng/home,annie@arbelebio.com
ArchiTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/architech,No Info Found,architech0802@gmail.com
ARCS,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/arcs,No Info Found,stechgroup2022@gmail.com
AREIX Analytics Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/areix,https://areix-ai.com,hellohk@areix-ai.com
ArkalaFarmers,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/arkalafarmers,No Info Found,No Info Found
Arogrena,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/arogrena,No Info Found,Arogrena@hotmail.com
Art Tech Bay,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/art-tech-bay,http://www.arttechbay.com/,info@arttechbay.com
Artificial Intelligence - Safety Working Platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/artificial-intelligence-safety-working-platform,http://intellemanly.com/,chiang918@gmail.com
Arvin – Speaking AI,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/arvin,No Info Found,skylarhimmel.research@gmail.com
AR_DRAMA,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ar-drama,No Info Found,bschung2-c@my.cityu.edu.hk
ASA Robotics Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/asa-robotics-limited,https://www.asa-robotics.com/,contact@asa-robotics.com
Asia Digital Asset Club,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/asia-digital-asset-club,https://linktr.ee/asiadigitalassetclub,info@asiadigitalassetclub.com
Askpire,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/askpire,https://www.askpire.com/,general@askpire.com
Attitude sensing system for heavy machinery,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/attitude-sensing-system,No Info Found,Shudong_wang@outlook.com
Attofund,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/attofund,No Info Found,No Info Found
AudioGeeks – MuGEN,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/audiogeeks-mugen,No Info Found,No Info Found
AuthBlock — Web3 Application Infrastructure,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/authblock,https://www.authblock.io/,connect@authblock.io
Autofill Bot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/autofill-bot,No Info Found,danielto@ionestep.com
Automatic battery thermal control system,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/automatic-battery-thermal-control-system,No Info Found,silehu2-c@my.cityu.edu.hk
AWIL Group – All Walks,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/awil-group-all-walks,No Info Found,No Info Found
BA-RHMS (Band-Aid Railway Health Monitoring System),https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ba-rhms,No Info Found,No Info Found
BacMed,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bacmed,No Info Found,No Info Found
Bag Plus,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bag-plus,No Info Found,bagplus852@gmail.com
Ball PB,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ball-pb,No Info Found,business@ballpb.com
BARK,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bark,No Info Found,No Info Found
Bee Prepared,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bee-prepared,https://beeprepared.info/,tony.wong@beeprepared.info
Begain,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/begain,No Info Found,surisho1102@gmail.com
Belun Technology Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/beluntech,https://beluntech.com/,info@beluntech.com
Bettery,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bettery,No Info Found,shuxue3-c@my.cityu.edu.hk
BioInsight Innovations,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bioinsight-innovations,No Info Found,No Info Found
Bioinspired Topological Skin,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bioinspired-topological-skin,No Info Found,wanboli@cityu.edu.hk
Biolot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biolot,No Info Found,xxz020928@gmail.com
BioMetallica,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biometallica,No Info Found,No Info Found
